WARD,BIA,DAYS SERVICED,ASSET TYPE,STATUS
15,Bayview Leaside,5,WR4,Existing
04,The Junction,1,WR4,Existing
04,Bloor By The Park,7,WR1,Existing
04,Bloor By The Park,7,WR1,Existing
04,The Junction,5,WR4,Existing
04,The Junction,5,WR4,Existing
10,Liberty Village,7,WR1,Existing
04,Parkdale Village,7,WR2,Existing
04,Parkdale Village,5,WR1,Existing
04,Parkdale Village,7,WR1,Existing
04,Parkdale Village,7,WR2,Existing
04,Parkdale Village,7,WR2,Temporarily Removed
04,Parkdale Village,5,WR1,Existing
08,Fairbank Village,5,WR2,Existing
08,MarkeTO District,5,WR2,Existing
08,York-Eglinton,5,WR1,Existing
08,Fairbank Village,5,WR2,Existing
08,Fairbank Village,5,WR2,Existing
08,York-Eglinton,5,WR2,Existing
12,York-Eglinton,5,WR2,Existing
12,York-Eglinton,5,WR2,Temporarily Removed
12,York-Eglinton,5,WR2,Existing
12,Oakwood Village,5,WR1,Existing
12,Oakwood Village,5,WR2,Existing
12,Oakwood Village,5,WR2,Existing
08,The Eglinton Way,5,WR1,Temporarily Removed
08,The Eglinton Way,5,WR1,Temporarily Removed
10,Queen Street West,7,WR1,Temporarily Removed
10,Toronto Downtown West,7,WR1,Temporarily Removed
08,Upper Village,5,WR2,Temporarily Removed
08,Upper Village,5,WR1,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
10,Toronto Downtown West,7,WR1,Existing
05,Mount Dennis,5,WR2,Existing
05,Eglinton Hill,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
19,Danforth Mosaic,7,WR2,Existing
19,Danforth Mosaic,7,WR1,Existing
19,Danforth Mosaic,7,WR2,Existing
14,Gerrard India Bazaar,7,WR4,Existing
08,York-Eglinton,5,WR2,Temporarily Removed
12,Midtown Yonge,7,WR2,Existing
12,Midtown Yonge,7,WR2,Existing
12,Midtown Yonge,7,WR2,Temporarily Removed
12,Yonge & St. Clair,7,WR2,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR1,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR4,Existing
14,Leslieville,7,WR1,Temporarily Removed
11,Kensington Market,7,WR3,Existing
14,Danforth Mosaic,7,WR2,Existing
13,Bloor-Yorkville,7,WR2,Temporarily Removed
14,Leslieville,7,WR1,Existing
11,Bloor Street,7,WR2,Temporarily Removed
11,Chinatown,7,WR2,Existing
19,The Beach,7,WR4,Existing
10,Little Portugal,7,WR1,Existing
12,Dupont by the Castle,1,WR1,Existing
10,The Waterfront,7,WR2,Existing
14,Danforth Mosaic,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Temporarily Removed
14,Pape Village,7,WR2,Existing
12,Mount Pleasant Village,1,WR2,Temporarily Removed
14,Leslieville,7,WR1,Existing
10,Financial District,7,WR4,Temporarily Removed
11,Mirvish Village,7,WR2,Temporarily Removed
11,Little Italy,7,WR1,Existing
03,Shop The Queensway,5,WR1,Existing
03,Village of Islington,1,WR2,Existing
03,Lakeshore Village,5,WR2,Existing
05,Weston Village,5,WR1,Existing
19,Danforth Village,3,WR2,Existing
18,Willowdale,4,WR3,Existing
01,Albion Islington Square,5,WR2,Existing
01,Albion Islington Square,5,WR2,Existing
08,Uptown Yonge,7,WR2,Existing
06,DuKe Heights,5,WR2,Existing
04,The Junction,5,WR4,Existing
12,Mount Pleasant Village,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Existing
10,Toronto Downtown West,7,WR2,Existing
23,Sheppard East Village,3,WR2,Existing
14,Broadview Danforth,7,WR1,Existing
23,Sheppard East Village,3,WR1,Temporarily Removed
13,Historic Queen East,7,WR2,Existing
13,St. Lawrence Market Neighbourhood,7,WR1,Existing
10,Financial District,7,WR4,Temporarily Removed
10,Financial District,7,WR2,Temporarily Removed
03,Lakeshore Village,7,WR4,Existing
03,Village of Islington,5,WR2,Existing
03,Village of Islington,5,WR2,Existing
09,Bloordale Village,7,WR2,Temporarily Removed
13,Downtown Yonge,7,WR4,Existing
10,Toronto Downtown West,7,WR2,Existing
03,Shop The Queensway,5,WR2,Existing
04,Parkdale Village,5,WR1,Existing
08,Fairbank Village,5,WR2,Temporarily Removed
12,Yonge & St. Clair,5,WR2,Existing
09,Corso Italia,5,WR2,Existing
09,Regal Heights Village,5,WR2,Existing
18,Willowdale,4,WR2,Existing
10,St. Lawrence Market Neighbourhood,7,WR4,Existing
18,Willowdale,7,WR2,Existing
18,Willowdale,1,WR2,Existing
10,Chinatown,7,WR2,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
11,Bloor Street,7,WR2,Existing
11,Bloor-Yorkville,7,WR2,Existing
19,Danforth Village,3,WR2,Existing
13,Downtown Yonge,7,WR4,Existing
13,St. Lawrence Market Neighbourhood,7,WR2,Existing
12,Wychwood Heights,1,WR2,Existing
15,Uptown Yonge,7,WR2,Existing
10,Toronto Downtown West,7,WR1,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR4,Existing
18,Willowdale,7,WR2,Existing
19,The Beach,7,WR4,Existing
19,The Beach,7,WR4,Existing
14,Gerrard India Bazaar,7,WR4,Existing
04,Bloor West Village,7,WR4,Existing
15,Mount Pleasant Village,7,WR1,Existing
