"","key","DAYS.SERVICED","ASSET.TYPE","STATUS","Minors","Adult","Middle_Age_Adult","Senior_Adult","Low_Density_Housing","Medium_Density_Housing","High_Density_Housing","Other_Types","Small_Households","Medium_Households","Large_Households"
"113","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"114","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"115","Ward6",5,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"116","Ward7",5,"WR2","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"117","Ward7",1,"WR1","Existing",25945,33035,29185,23050,12165,5290,20205,10,17795,13540,6335
"118","Ward6",5,"WR2","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"119","Ward6",1,"WR1","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"120","Ward6",5,"WR2","Existing",21260,30195,30505,25390,13405,3145,24670,55,23200,13610,4455
"121","Ward4",1,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"122","Ward4",1,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"123","Ward4",5,"WR2","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"124","Ward4",5,"WR2","Temporarily Removed",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"125","Ward4",5,"WR1","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"126","Ward4",5,"WR4","Existing",19695,32780,30745,21485,13070,3295,32995,85,34805,12475,2165
"127","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"128","Ward8",5,"WR1","Existing",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
"129","Ward8",5,"WR1","Temporarily Removed",26335,29275,32065,27150,18680,3860,23370,0,27355,14205,4350
